firma,2019,2018,2017,2016
Kansai Electric Power,65576.6,65692.5,61513.0,65959.0
Arrow Electronics,17784.4,16462.8,14206.0,13022.0
Philip Morris International,39801.0,42968.0,36851.0,33956.0
Koç Holding,23570.7,27452.5,25047.0,25013.0
Wistron,11032.7,10979.9,-,-
UniCredit Group,950368.8,1004790.7,906489.0,934603.0
Samsung Life Insurance,259413.5,264119.8,219157.0,196505.0
SAP,58854.2,51029.1,46696.0,44958.0
La Poste,298904.8,296184.0,257526.0,253105.0
Northwestern Mutual,272167.0,265049.0,250441.0,238472.0
Naturgy Energy Group,46441.2,56822.8,49688.0,52281.0
Migros Group,67587.8,66284.5,62536.0,62095.0
Danone,50494.3,53155.6,46350.0,35532.0
Westpac Banking,636296.9,668294.5,642083.0,570215.0
KB Financial Group,429854.2,408058.3,-,-
International Airlines Group,32042.9,32734.1,28868.0,30662.0
Medipal Holdings,14619.2,15250.4,13696.0,13324.0
Sumitomo Electric Industries,27588.9,28376.8,26062.0,24407.0
China Datang,108633.2,110688.9,101631.0,112349.0
Xinjiang Guanghui Industry Investment,38415.2,37727.4,31957.0,-
Subaru,26951.5,27126.1,24794.0,-
Anhui Conch Group,27967.9,-,-,-
Huaxia Life Insurance,74401.5,-,-,-
CFE,84234.7,80467.2,-,-
Samsung C&amp;T,38009.0,45823.0,36816.0,-
Adecco Group,11107.7,11875.6,10651.0,10564.0
Randstad,11359.1,11723.0,9624.0,7939.0
LafargeHolcim,60579.5,65358.7,68521.0,73247.0
Haier Smart Home,24280.1,23259.1,-,-
INTL FCStone,7824.7,6243.4,-,5070.0
Anglo American,52196.0,54561.0,-,-
China Taiping Insurance Group,96189.1,85774.0,-,-
Mapfre Group,76913.4,81135.3,71590.0,68962.0
Chubu Electric Power,54102.5,52009.7,48580.0,49288.0
PBF Energy,8005.4,-,-,-
Cathay Life Insurance,207944.9,204963.2,172442.0,157732.0
Financière de l'Odet,61194.7,-,-,-
Australia &amp; New Zealand Banking Group,681894.2,703950.7,699976.0,624799.0
East Japan Railway,75537.0,76626.3,71009.0,69316.0
OMV Group,42246.4,-,-,35480.0
Raytheon,31864.0,30860.0,30052.0,29281.0
TongLing Nonferrous Metals Group,12668.5,-,-,-
Shanxi LuAn Mining Group,35084.4,37128.2,-,29742.0
CJ Corp.,28439.1,27396.7,-,-
Datong Coal Mine Group,49898.2,51065.7,40012.0,39738.0
Shanxi Coking Coal Group,49288.0,-,39206.0,40194.0
Nokia,45167.9,49260.3,47354.0,-
Heineken Holding,47955.7,49272.3,41469.0,40965.0
Xiaomi,21152.7,-,-,-
Yangquan Coal Industry Group,34909.5,33075.6,30793.0,31669.0
NEC,26661.6,26533.9,24091.0,22188.0
Fubon Financial Holding,251010.5,232586.7,-,-
Kraft Heinz,103461.0,120232.0,120480.0,-
Hailiang Group,8036.4,-,-,-
Flex,13499.4,13715.9,12593.0,-
Xinxing Cathay International Group,20671.3,21110.4,18705.0,19554.0
Emirates Group,34687.8,34737.4,33096.0,32448.0
Ceconomy,9842.9,18651.3,28039.0,30867.0
Michelin,33659.1,30339.8,26705.0,25953.0
National Australia Bank,583429.3,618439.6,594967.0,670542.0
Mondelez International,62729.0,63109.0,61538.0,62843.0
Adidas,17844.5,17437.6,-,-
Shanxi Jincheng Anthracite Coal Mining Group,40137.8,38267.0,32954.0,32624.0
Rabobank Group,674869.5,724052.6,698790.0,728159.0
Henan Energy &amp; Chemical,39328.4,39857.3,-,-
China General Technology,25230.8,-,20860.0,21471.0
U.S. Bancorp,467374.0,462040.0,445964.0,421853.0
Macy's,19194.0,19381.0,19851.0,20576.0
Fomento Económico Mexicano,29270.3,30083.6,-,-
Dollar General,13204.0,-,11672.0,-
LG Chem,25942.6,-,-,-
Onex,45417.0,44679.0,42913.0,35810.0
Formosa Petrochemical,13201.8,-,-,-
Safran,46428.7,-,-,-
Achmea,93515.7,109205.1,98096.0,100926.0
Rajesh Exports,4163.8,3608.8,3717.0,3435.0
Nucor,17920.6,-,-,-
Bank of Montreal,589481.4,-,-,-
Taikang Insurance Group,117398.3,109467.8,-,-
Ultrapar Holdings,7870.2,8545.8,7426.0,5301.0
Air Liquide,47983.8,-,-,-
