firma,2019,2018,2017,2016
Medtronic,3104.0,4028.0,3538.0,-
Kansai Electric Power,1037.9,1370.8,1299.3,1173.0
Arrow Electronics,716.2,402.0,522.8,498.0
Philip Morris International,7911.0,6035.0,6967.0,6873.0
Koç Holding,1143.8,1345.9,1144.2,1310.0
Wistron,162.8,127.7,-,-
UniCredit Group,4593.7,6169.3,-13038.0,1879.0
Samsung Life Insurance,1512.9,1031.6,1770.3,1071.0
SAP,4818.6,4529.2,4031.9,3399.0
La Poste,941.8,959.3,938.9,704.0
Northwestern Mutual,783.0,1017.0,818.0,815.0
Naturgy Energy Group,-3330.4,1533.0,1489.6,1666.0
Migros Group,511.3,524.2,693.3,833.0
Danone,2772.2,2765.1,1902.1,1422.0
Westpac Banking,6151.5,6083.2,5477.0,6274.0
KB Financial Group,2782.5,2929.5,-,-
International Airlines Group,3404.8,2255.6,2135.4,1658.0
Medipal Holdings,309.9,313.9,267.7,256.0
Sumitomo Electric Industries,1064.8,1086.1,992.7,758.0
China Datang,323.4,341.7,243.9,184.0
Xinjiang Guanghui Industry Investment,137.0,32.5,251.8,-
Subaru,1333.1,1988.9,2605.8,-
Anhui Conch Group,1628.9,-,-,-
Huaxia Life Insurance,398.8,-,-,-
CFE,2322.3,5704.4,-,-
Samsung C&amp;T,1556.9,566.0,92.5,-
Adecco Group,540.5,888.2,799.5,9.0
Randstad,830.8,711.7,650.2,576.0
LafargeHolcim,1536.1,-1701.7,1817.9,-1527.0
Haier Smart Home,1124.8,1024.7,-,-
INTL FCStone,55.5,6.4,-,56.0
Anglo American,3549.0,3166.0,-,-
China Taiping Insurance Group,434.0,449.2,-,-
Mapfre Group,624.1,789.6,857.5,786.0
Chubu Electric Power,716.3,671.3,1058.2,1414.0
PBF Energy,128.3,-,-,-
Cathay Life Insurance,1001.5,1192.8,934.0,1205.0
Financière de l'Odet,144.1,-,-,-
Australia &amp; New Zealand Banking Group,4863.4,4877.2,4199.9,5868.0
East Japan Railway,2662.6,2608.1,2565.0,2043.0
OMV Group,1789.1,-,-,-1174.0
Raytheon,2909.0,2024.0,2211.0,2074.0
TongLing Nonferrous Metals Group,-70.2,-,-,-
Shanxi LuAn Mining Group,1.2,0.5,-,-277.0
CJ Corp.,250.9,410.2,-,-
Datong Coal Mine Group,-181.8,66.8,-214.8,-166.0
Shanxi Coking Coal Group,141.6,-,-10.0,76.0
Nokia,-401.3,-1684.1,-847.1,-
Heineken Holding,1134.1,1101.3,861.5,1062.0
Xiaomi,2049.1,-,-,-
Yangquan Coal Industry Group,-131.1,-117.1,11.1,-30.0
NEC,362.5,414.0,252.0,573.0
Fubon Financial Holding,1583.4,1778.9,-,-
Kraft Heinz,-10192.0,10999.0,3632.0,-
Hailiang Group,237.6,-,-,-
Flex,93.4,428.5,319.6,-
Xinxing Cathay International Group,103.6,440.0,448.2,456.0
Emirates Group,237.1,761.2,340.3,1940.0
Ceconomy,-252.2,358.4,665.0,769.0
Michelin,1979.1,1916.3,1853.4,1296.0
National Australia Bank,4220.6,4023.8,259.0,4963.0
Mondelez International,3381.0,2922.0,1659.0,7267.0
Adidas,2008.6,1236.6,-,-
Shanxi Jincheng Anthracite Coal Mining Group,52.6,57.3,3.0,-154.0
